INFO:root:training_config[num_of_optimizers]:2
INFO:root:training_config[num_of_epochs]:1
INFO:root:training_config[batch_size]:1000
INFO:root:training_config[num_of_layers]:6
INFO:root:training_config[model_dims]:512
INFO:root:training_config[num_of_heads]:8
INFO:root:training_config[dropout_prob]:0.1
INFO:root:training_config[smoothing_value]:0.1
INFO:root:training_config[scheduler1]:paper
INFO:root:training_config[scheduler2]:paper
INFO:root:training_config[optimizer_1_lr]:0.1
INFO:root:training_config[num_warmup_steps1]:4000
INFO:root:training_config[optimizer_1_beta1]:0.9
INFO:root:training_config[optimizer_1_beta2]:0.98
INFO:root:training_config[optimizer_1_eps]:1e-09
INFO:root:training_config[optimizer_2_lr]:0.1
INFO:root:training_config[num_warmup_steps2]:4000
INFO:root:training_config[optimizer_2_beta1]:0.8
INFO:root:training_config[optimizer_2_beta2]:0.88
INFO:root:training_config[optimizer_2_eps]:1e-09
INFO:root:training_config[language_direction]:E2G
INFO:root:training_config[dataset_path]:/home/kiran/kiran/dl_lab/project/transformers/lab_transformer/utils_train/../data
INFO:root:training_config[console_log_freq]:10
INFO:root:training_config[checkpoint_freq]:5
INFO:root:
STARTING TRAIN CALL
INFO:root:torch.device: cpu
INFO:root:SETUP NUM OPTIMIZERS: 2
INFO:root:Optimizer 1 is paper
INFO:root:Optimizer 2 is paper
INFO:root:Transformer training: time elapsed= 2.34 [s] | epoch=1 | batch= 1 | target tokens/batch= 91.19999694824219
INFO:root:Transformer training: time elapsed= 24.69 [s] | epoch=1 | batch= 11 | target tokens/batch= 786.0
INFO:root:Transformer training: time elapsed= 46.93 [s] | epoch=1 | batch= 21 | target tokens/batch= 743.2000122070312
INFO:root:Transformer training: time elapsed= 70.03 [s] | epoch=1 | batch= 31 | target tokens/batch= 790.4000244140625
INFO:root:Transformer training: time elapsed= 92.13 [s] | epoch=1 | batch= 41 | target tokens/batch= 766.4000244140625
INFO:root:Transformer training: time elapsed= 114.76 [s] | epoch=1 | batch= 51 | target tokens/batch= 802.0
INFO:root:Transformer training: time elapsed= 137.66 [s] | epoch=1 | batch= 61 | target tokens/batch= 802.2000122070312
INFO:root:Transformer training: time elapsed= 159.55 [s] | epoch=1 | batch= 71 | target tokens/batch= 767.7000122070312
INFO:root:Transformer training: time elapsed= 182.71 [s] | epoch=1 | batch= 81 | target tokens/batch= 790.4000244140625
INFO:root:Transformer training: time elapsed= 205.67 [s] | epoch=1 | batch= 91 | target tokens/batch= 797.2000122070312
INFO:root:Transformer training: time elapsed= 227.53 [s] | epoch=1 | batch= 101 | target tokens/batch= 753.9000244140625
INFO:root:Transformer training: time elapsed= 249.90 [s] | epoch=1 | batch= 111 | target tokens/batch= 809.2000122070312
INFO:root:Transformer training: time elapsed= 271.34 [s] | epoch=1 | batch= 121 | target tokens/batch= 722.0999755859375
INFO:root:Transformer training: time elapsed= 294.05 [s] | epoch=1 | batch= 131 | target tokens/batch= 828.9000244140625
INFO:root:Transformer training: time elapsed= 316.61 [s] | epoch=1 | batch= 141 | target tokens/batch= 806.4000244140625
INFO:root:Transformer training: time elapsed= 339.03 [s] | epoch=1 | batch= 151 | target tokens/batch= 773.2000122070312
INFO:root:Transformer training: time elapsed= 361.85 [s] | epoch=1 | batch= 161 | target tokens/batch= 756.0999755859375
